author,text,time,votes,source,video_url
@isaackeic_official,ntazo tuzatega ubwo government izajya izijyenda mo i mean bazazihe aba minister abakene nta jambo,1 year ago,12,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@mukamparayesolange3271,Iki nikibazo pe Leta yarengeye inyungu zu umushoramari ntiyareba ku muturage naho akura birababaje 😢😢😢,1 year ago,1,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@IBISHYATIV250,Murwanga.harakagenda.honyine.sinzahakumbura.Uganda.❤,1 year ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@mupenziniyonshuti2722,Yemwe ntaba beshye iyo transport igiciro cyayo cyazamutse nubuzima muri rusange buragoranta Kuko ntabuhahirane hagati huduce runaka nutundi bubaho  muburyo bwiza reta nidufashe Kuko transport niryo zingiro.ryubu kungu bwose igihugu gifite niba ipfuye. Kurinjyewe ndabona hazangirika byinshi.murakoze .,1 year ago,2,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@Klaudius-y9n,Ngo impumeko .ibyo utabasha kugira ibyo ubikoraho urabyakira.noneho ingendo zitari ngombwa zigomba kugabanywa.,1 year ago,2,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@NyiringangoFidele,Ntabwo bikwiye ko umuntu ugarukira muzira ariha nkugera aho igarukira,10 months ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@gady250tv,"Ibiciro by'ingendo barabizamuye cyane bararenza.
Ingaruka zizagera kubaturage ni nyinshi nihatagira igikorwa. Kubona harahagenderwaga 1200 bikaba byageze kuri 2000🤔 Birakabije",1 year ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@hakizimanaemmanuel6646,Umva ubundix kuki bahenda abaturage nuko umuhanda wawugize uwabo bakuyeho Tax zadukuraga kumuhanda vuba ubumuntu arajya gutega akamara isaha kucyapa kd mbere muriza 2012 twategaga neza wabufite igiceri kijana ukabuziko utagenda namaguru   mubintu bitubogamiye nimigendere yikigihe rwose abayobozi nibarebe icyobakora nibyiza turateta imbere ariko abaturage berekubigenderamo mwireba inyuguzanyu mwiregagize rubanda rugufi kubera buriwese yarafite tax yumvagako agiye gushaka amafaranga mumuhanda esebubundi umuntu nibateze agiye kumurindi akishura Agana nugiye kabuga kd avamo haryamundi uhomba sumugenzi rwose turasaba umubyeyi wacu Kagame ibatagisi bizasubirwemo kbs,1 year ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@kruschev-77,Nuko mu Rwanda tutemerewe kwigaragambya ark biragoye  nuko iki bazo abongera ibiciro bo bagenda muzabo 😢 ibi birakabije,1 year ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
@HabimanaArani-z5k,Rura ikwiye kugabanya ibiciro by'ingenzi kbs,1 year ago,0,YouTube,https://www.youtube.com/watch?v=9_MsX5jFTTU
